lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,lr-AdamW/pg10,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,,,,,,,
,,,,,,,,,,3011,2.0279715061187744,0.8731318498837596,0.8490085640288073,0,,,
,,,,,,,,,,3011,,,,0,2.7262065410614014,0.8057861530798606,0.7121921958674889
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3012,,,,,,,
,,,,,,,,,,6023,1.8080766201019287,0.8938890733975423,0.8795437898808491,1,,,
,,,,,,,,,,6023,,,,1,1.738166332244873,0.8902332724555869,0.8241633930330793
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,6024,,,,,,,
,,,,,,,,,,9035,1.7373536825180054,0.9040185984722684,0.8933032831175544,2,,,
,,,,,,,,,,9035,,,,2,1.298202395439148,0.9230242404117549,0.8742461791173822
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,9036,,,,,,,
,,,,,,,,,,12047,1.867884635925293,0.8955496512786449,0.8879819355635314,3,,,
,,,,,,,,,,12047,,,,3,1.0081028938293457,0.9457911339863855,0.9100657248293623
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,12048,,,,,,,
,,,,,,,,,,15059,1.9209098815917969,0.9030222517436067,0.8929381496984062,4,,,
,,,,,,,,,,15059,,,,4,0.7938342094421387,0.9612734517682218,0.9350693866096652
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,15060,,,,,,,
,,,,,,,,,,18071,2.090441942214966,0.9015277316506144,0.8924941862592307,5,,,
,,,,,,,,,,18071,,,,5,0.6267628073692322,0.9738502407438153,0.9558501208330962
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,18072,,,,,,,
,,,,,,,,,,21083,2.1345436573028564,0.9053470607771504,0.8949765343819803,6,,,
,,,,,,,,,,21083,,,,6,0.5086444020271301,0.981197077868172,0.9684447558609052
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,21084,,,,,,,
,,,,,,,,,,24095,2.25222110748291,0.9065094652939223,0.8969897713226104,7,,,
,,,,,,,,,,24095,,,,7,0.428498238325119,0.9866968288228457,0.977464400134578
